AChip	IDtxt
19893_AB01778470_17038	M157
19893_AB01778504_17045	M196
19893_AB01778510_17030	M176
19893_AB01779182_17047	M214
19893_AB01779189_17018	M113
19893_AB01860198_17037	M154
19893_AB01860313_17041	M165
19893_AB01913188_17049	M212
19893_AB01913261_17092	M153
19893_AB01913300_16991	M220
19893_AB01923090_16992	M228
19893_AB01943851_17042	M177
19893_AB01983305_17031	M186
19893_AB01983441_17040	M161
19893_AB01983443_17022	M159
19893_AB01983478_17035	M130
19893_AB01983865_17043	M180
19893_AB01983888_17050	M121
19893_AB01983892_17029	M155
19893_AB01983905_17019	M128
19893_AB01988136_17034	M227
19893_AB01988400_17051	M116
19893_AB01988622_17021	M156
19893_AB01988634_17017	M111
19893_AB01988641_17024	M201
19893_AB01988665_17044	M188
19893_AB01988706_17039	M158
19893_AB01988709_17027	M226
19893_AB01988711_17032	M199
19893_AB01988712_17033	M215
19893_AB01988722_17036	M136
19893_AB01988742_17046	M206
19893_AB01988743_17025	M211
19893_AB01988746_17026	M217
19893_AB01988783_16990	M135
19893_AB02014530_17059	M216
19893_AB02014587_17020	M139
20537_AB01913201_17055	M117
20537_AB01913244_17054	M106
20537_AB01983919_17056	M108
20558_AB01711719_17202	M123
20558_AB01712163_17203	M126
20558_AB01724707_17204	M205
20979_AB01913192_16985	M182
20979_AB01913684_16983	M133
20979_AB01943782_16982	M179
20979_AB01988666_16986	M189
20979_AB01988749_16984	M181
23678_AB01233000_24649	M230
23678_AB01233040_24639	M236
23678_AB01299744_24641	M258
23678_AB01299779_24642	M246
23678_AB01542140_24651	M237
23678_AB01542151_24650	M239
23678_AB01542166_24636	M264
23678_AB01542220_24643	M238
23678_AB01542230_24645	M280
23678_AB01542241_24647	M245
23678_AB01562100_24635	M247
23678_AB01562113_24644	M266
23678_AB01562129_24638	M235
23678_AB01562130_24648	M231
23678_AB01562152_24646	M257
23678_AB01562153_24637	M256
23678_AB01562218_24640	M270
24817_AB02260707_26166	M259
24817_AB02260970_26172	M301
24817_AB02261485_26161	M234
24817_AB02261505_26168	M310
24817_AB02261508_26167	M251
24817_AB02261512_26160	M260
24817_AB02262603_26162	M255
24817_AB02262619_26171	M286
24817_AB02262650_26174	M287
24817_AB02263363_26173	M309
24817_AB02263375_26169	M304
24817_AB02263389_26164	M233
24817_AB02263395_26170	M297
24817_AB02263399_26158	M295
24817_AB02263400_26163	M282
24817_AB02263405_26175	M302
24817_AB02263410_26165	M261
28998_AB02086473_34898	M402
28998_AB02086494_34889	M387
28998_AB02086509_34967	M386
28998_AB02088695_34964	M322
28998_AB02090183_34891	M375
28998_AB02090231_34822	M330
28998_AB02090665_34888	M316
28998_AB02090710_34885	M331
28998_AB02091099_34966	ML20
28998_AB02077268_34965	M333
29099_AB02088682_34899	M371
29539_AB01833728_35659	M463
29539_AB01723009_35679	M323
29539_AB01723028_35692	M442
29539_AB01723031_35678	M523
29539_AB01723032_35694	M315
29539_AB01723039_35684	M399
29539_AB01723040_35686	M524
29539_AB01723041_35689	M353
29539_AB01723043_35685	M534
29539_AB01723044_35687	M447
29539_AB01723056_35693	M356
29539_AB01833495_35688	M367
29539_AB01833504_35681	M120
29539_AB01833515_35616	M482
29539_AB01833526_35614	M141
29539_AB01833535_35695	M107
29539_AB01833542_35683	M343
29539_AB01833699_35605	M485
29539_AB01833716_35658	M373
29539_AB01833732_35677	M357
29539_AB01833747_35697	M384
29539_AB01833749_35607	M497
29539_AB01833756_35615	M503
29539_AB01833758_35698	M129
29539_AB01833759_35699	M421
29539_AB01833769_35700	M146
29539_AB01833780_35612	M506
29539_AB01833821_35682	M525
29539_AB01833829_35611	M145
29539_AB01833832_35608	M469
29539_AB01833840_35610	M484
29539_AB01833841_35702	M341
29539_AB01833876_35613	M434
29539_AB01833931_35690	M334
29539_AB01723030_35657	PERU14-16
29539_AB01833741_35650	PERU12-14
29539_AB01833522_35706	PERU11
29539_AB01833754_35654	PERU07
29539_AB01833820_35655	PERU09
29539_AB01833935_35648	PERU01
